src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
34.120.52.64,192.168.100.114,443,64985,6,2026-03-18 19:18:00,90.03312993049622,46.54953130292559,0.3887457875453103,0.25546151752977536,0.13328427001553497,23,12,2337,1854,165,60,101.6086956521739,47.83098789118308,204,54,154.5,59.96457287432305,204,54,119.74285714285715,58.02183966017469,3366.533877551021,460,240,20,23,2.6480332332498886,14.96838092803955,0.0,4.830333767423201,90.03312993049622,14.96838092803955,0.0,4.092414996840737,5.495009510810964,90.00100708007812,15.00109601020813,0.18300795555114746,8.181909734552557,5.227651546528638,12,11,0,0,0,0,0,23,35,0,0,0.5217391304347826,119.74285714285715,1041,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6086956521739,154.5,0,23,12,2337,1854
192.168.100.114,52.178.17.234,49309,443,6,2026-03-18 19:17:58,100.58014988899231,69.44710271071541,0.21873103215973358,0.10936551607986679,0.10936551607986679,11,11,6134,851,2599,54,557.6363636363636,959.8070140044985,154,54,77.36363636363636,36.48230636467424,2599,54,317.5,720.378861811932,518945.70454545453,220,220,20,10,4.789530947094872,45.00986313819885,0.0,13.222699054821932,100.53560495376587,45.10586714744568,0.0,10.053560495376587,17.777225248563628,100.53624391555786,45.05399489402771,0.0,10.053624391555786,17.75204132049233,8,3,0,0,0,0,0,11,22,0,0,1.0,317.5,1021,16386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.6363636363636,77.36363636363636,0,11,11,6134,851
155.133.250.4,192.168.100.114,27023,52284,6,2026-03-18 19:17:57,102.80548691749573,24.385857945616632,0.24317768194671552,0.12645239461229207,0.11672528733442346,13,12,1643,864,248,54,126.38461538461539,52.70606221377993,108,54,72.0,25.45584412271571,248,54,100.28,49.9379775321348,2493.8016000000002,260,240,20,12,4.283561954895656,24.60317301750183,0.0,6.543053616191144,102.80548691749573,24.648990869522095,0.0,8.567123909791311,7.067222222317053,102.70387816429138,24.658050060272217,1.0155420303344727,9.336716196753763,6.852133779973231,9,4,0,0,0,0,0,13,25,0,0,0.9230769230769231,100.28,11751,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.38461538461539,72.0,0,13,12,1643,864
192.168.100.114,81.196.185.234,49343,443,6,2026-03-18 19:18:12,90.08941912651062,111.5891310818953,0.25530190141088155,0.11100082670038328,0.14430107471049827,10,13,3180,6873,2185,54,318.0,633.506116781835,1466,54,528.6923076923077,613.7132109751622,2185,54,437.0869565217391,631.0990353649444,398285.9924385633,200,260,20,5,4.094973596659574,45.00620889663696,0.0,12.936327169936973,90.08593106269836,45.00869297981262,0.0,10.009547895855373,18.705574749479577,90.08511304855347,45.00969696044922,0.0,7.5070927540461225,16.77017125230764,3,4,0,0,0,3,0,7,21,0,0,1.3,437.0869565217391,64240,64240,0,0,0,0,0,0,0,0,0,0,5859.0,7.0,0,4160925.691838808,318.0,528.6923076923077,0,10,13,3180,6873
192.168.100.114,81.196.185.232,49345,443,6,2026-03-18 19:18:12,90.06734681129456,145.74649375986567,0.27757007267438427,0.12213083197672907,0.1554392406976552,11,14,3173,9954,1786,54,288.45454545454544,517.944953838351,1466,54,711.0,645.2262061811014,1786,54,525.08,628.6241433479945,395168.31359999994,220,280,20,5,3.7528061171372733,45.008564949035645,0.0,12.438603930029673,90.06403493881226,45.0115020275116,0.0,9.006403493881226,18.001026659061548,90.06420302391052,45.011876821517944,0.0,6.9280156172238865,16.238275197408672,3,5,0,0,0,3,0,8,23,0,0,1.2727272727272727,525.08,64240,64240,0,0,0,0,0,0,0,0,0,0,6166.0,6.0,0,3853684.7659067204,288.45454545454544,711.0,0,11,14,3173,9954
192.168.100.114,143.204.11.10,49202,443,6,2026-03-18 19:18:13,90.02796792984009,4.643001609519306,0.07775361547041901,0.044430637411668,0.033322978058751,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.004661321640015,45.01025199890137,0.0,21.216482836159454,90.02439713478088,45.013592004776,0.0,30.008132378260296,21.218953925913553,90.02550888061523,45.01382279396057,45.01168608665466,45.01275444030762,0.0010683536529541016,0,0,0,0,0,0,0,0,7,0,0,0.75,59.714285714285715,1025,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,66.0,0,4,3,220,198
192.168.100.114,100.55.246.109,49218,443,6,2026-03-18 19:18:03,101.79039192199707,416.18859304976377,0.7073359149179254,0.3143715177413002,0.39296439717662524,32,40,27926,14438,16460,54,872.6875,2843.799729647598,1466,54,360.95,481.3988964465955,16460,54,588.3888888888889,1946.2059140482907,3787717.459876543,640,800,20,23,1.4336674918591137,45.013941049575806,0.0,6.905423843533163,101.61785984039307,45.17992305755615,0.0,3.277995478722357,10.191928286241852,101.66762495040894,45.135732889175415,0.0,2.606862178215614,9.186156126012628,22,17,0,0,0,0,0,39,72,0,0,1.25,588.3888888888889,1022,352,0,0,0,0,0,0,0,0,17577.0,4.0,6660.0,5.0,106536533.8265896,0,872.6875,360.95,0,32,40,27926,14438
192.168.100.114,52.55.133.200,49354,443,6,2026-03-18 19:18:16,100.54521584510803,34.074221942870196,0.1690781590860459,0.08951196657496548,0.07956619251108044,9,8,2196,1230,1125,54,244.0,336.46231421793567,608,54,153.75,177.815037328118,1125,54,201.52941176470588,277.202860024092,76841.42560553634,180,160,20,3,6.284075990319252,59.94580388069153,0.0,16.88930724255637,100.54521584510803,59.94583988189697,0.0,12.568151980638504,22.170267609947558,60.3961968421936,59.99763798713684,0.0,8.628028120313372,20.971648040994708,3,4,0,0,1,3,1,7,15,0,0,0.8888888888888888,201.52941176470588,64240,26883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.0,153.75,0,9,8,2196,1230
192.168.100.1,239.255.255.250,47839,1900,17,2026-03-18 19:18:05,122.07843804359436,14.28589706707433,0.08191454740294914,0.08191454740294914,0.0,10,0,1744,0,175,174,174.4,0.4898979485566356,0,0,0,0.0,175,174,174.4,0.4898979485566356,0.24,200,0,20,10,13.564270893732706,60.2629930973053,0.0,24.961467931502874,122.07843804359436,60.2629930973053,0.0,13.564270893732706,24.961467931502874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,174.4,0,0,0,0,0,0,0,0,0,0,530.0,4.0,0,0,682.4998311389585,0,174.4,0,0,10,0,1744,0
192.168.100.114,143.204.11.126,49264,443,6,2026-03-18 19:18:03,124.17027306556702,17.371307533978083,0.14496223255058205,0.07248111627529102,0.07248111627529102,9,9,884,1273,171,54,98.22222222222223,46.99592837630316,420,54,141.44444444444446,140.58774335000513,420,54,119.83333333333333,107.02245351119343,11453.80555555556,180,180,20,7,7.3041337097392365,45.00360298156738,0.0,15.922234201917396,124.17027306556702,45.00360298156738,0.0,15.521284133195877,20.278480499169415,79.16742300987244,45.007483959198,0.0,9.895927876234055,17.353105551672808,5,4,0,0,0,0,0,9,18,0,0,1.0,119.83333333333333,1024,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.22222222222223,141.44444444444446,0,9,9,884,1273
192.168.100.112,224.0.0.251,5353,5353,17,2026-03-18 19:18:27,121.24191498756409,7.967541589054278,0.06598378127581182,0.06598378127581182,0.0,8,0,966,0,130,100,120.75,12.803808027301878,0,0,0,0.0,130,100,120.75,12.803808027301878,163.9375,160,0,20,8,17.320273569652013,81.10142207145691,0.0,27.518134261624027,121.24191498756409,81.10142207145691,0.0,17.320273569652013,27.518134261624027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,120.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.75,0,0,8,0,966,0
104.199.65.9,192.168.100.114,4070,52187,6,2026-03-18 19:18:35,120.0420618057251,4.556736128751766,0.074973720582753,0.04165206699041833,0.03332165359233467,5,4,320,227,65,60,64.0,2.0,65,54,56.75,4.763139720814412,65,54,60.77777777777778,5.028314888437671,25.28395061728395,100,80,20,5,15.005257725715637,60.00173902511597,0.0,25.935988348944715,119.99862599372864,60.0979208946228,0.0,29.99965649843216,29.99941607604979,119.99219989776611,60.00173902511597,0.09346508979797363,39.997399965922035,28.216375348783583,4,1,0,0,0,0,0,5,9,0,0,0.8,60.77777777777778,11,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,56.75,0,5,4,320,227
34.120.52.64,192.168.100.114,443,64985,6,2026-03-18 19:19:33,100.59459400177002,44.485491933306676,0.41751746618969393,0.26840408540766036,0.14911338078203354,27,15,2484,1991,165,60,92.0,41.71330722922842,204,54,132.73333333333332,60.42015851978175,204,54,106.54761904761905,52.94615520955155,2803.2953514739224,540,300,20,27,2.4535266829700006,14.968590021133423,0.0,4.573531206209911,100.59459400177002,14.968590021133423,0.0,3.869022846221924,5.252342750418377,100.56279587745667,15.000863075256348,0.18081307411193848,7.183056848389762,5.259600972729244,14,13,0,0,0,0,0,27,42,0,0,0.5555555555555556,106.54761904761905,1041,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,132.73333333333332,0,27,15,2484,1991
192.168.100.114,3.216.163.33,49373,443,6,2026-03-18 19:19:44,90.78199195861816,84.68639907686183,0.2974158136154097,0.13218480605129318,0.1652310075641165,12,15,4853,2835,2069,54,404.4166666666667,736.4929800902532,1466,54,189.0,347.75048526206257,2069,54,284.74074074074076,565.4359571812934,319717.8216735254,240,300,20,7,3.4916150753314676,45.012001037597656,0.0,11.98480950515439,90.66453218460083,45.155832052230835,0.0,8.242230198600076,17.39293348626817,90.6649317741394,45.12860989570618,0.0,6.476066555295672,15.77839276519853,5,6,0,0,0,3,0,11,25,0,0,1.25,284.74074074074076,64240,26883,0,0,0,0,0,0,0,0,0,0,877.5,4.5,0,12198.42191174253,404.4166666666667,189.0,0,12,15,4853,2835
155.133.250.4,192.168.100.114,27023,52284,6,2026-03-18 19:19:46,102.82053709030151,11.768077022757865,0.12643388536847291,0.06807978442917773,0.058354100939295196,7,6,670,540,150,54,95.71428571428571,44.828926521401605,108,54,90.0,25.45584412271571,150,54,93.07692307692308,37.27333866382148,1389.301775147929,140,120,20,5,8.56837809085846,27.086658000946045,0.0,11.859449273000568,102.82053709030151,27.12436318397522,0.0,17.13675618171692,11.68571495638616,102.72832083702087,27.123976945877075,1.7742559909820557,20.545664167404176,9.617638512073968,3,4,0,0,0,0,0,7,13,0,0,0.8571428571428571,93.07692307692308,11751,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.71428571428571,90.0,0,7,6,670,540
192.168.100.114,224.0.0.251,5353,5353,17,2026-03-18 19:19:33,119.99837398529053,2.1750294719159573,0.025000338757654682,0.025000338757654682,0.0,3,0,261,0,87,87,87.0,0.0,0,0,0,0.0,87,87,87.0,0.0,0.0,60,0,20,3,59.999186992645264,119.99837398529053,0.0,59.999186992645264,119.99837398529053,119.99837398529053,0.0,59.999186992645264,59.999186992645264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,0,0,3,0,261,0
